User_ID,Typing_Speed_WPM,Typing_Accuracy_Percent,Daily_Coding_Hours,Problems_Solved_Per_Day,Coding_Efficiency_Score
248,46,93,7.1,5,4.24
249,109,85,6.3,2,5.37
250,56,81,5.0,17,6.7
251,69,87,5.1,7,5.21
252,30,95,4.1,22,7.2
253,81,87,5.4,25,9.17
254,89,92,7.0,12,6.91
255,103,90,4.2,3,5.49
256,101,99,5.0,19,8.81
257,65,80,7.6,18,7.15
258,63,86,4.2,4,4.41
259,83,87,2.5,6,5.43
260,112,89,2.8,1,5.34
261,106,83,1.9,6,6.04
262,39,80,1.9,5,3.77
263,57,82,5.9,20,7.35
264,114,83,4.9,18,8.68
265,58,90,7.1,7,4.94
266,75,85,4.4,10,5.95
267,37,89,3.4,23,7.49
268,111,95,4.3,24,10.03
269,70,99,7.9,2,4.48
270,40,96,5.8,2,3.52
271,69,89,6.5,13,6.45
272,67,80,6.5,11,5.81
273,64,84,3.1,10,5.6
274,64,89,7.1,11,5.9
275,83,85,2.7,15,7.19
276,46,91,3.5,7,4.6
277,108,84,6.2,8,6.52
278,110,85,5.1,21,9.2
279,53,92,7.5,4,4.23
280,103,88,5.7,2,5.25
281,67,80,2.0,4,4.41
282,45,84,4.3,14,5.83
283,60,98,1.6,8,5.36
284,65,95,5.0,1,4.05
285,95,92,4.5,3,5.29
286,111,91,3.1,12,7.55
287,59,100,4.9,5,4.77
288,46,86,6.5,2,3.5
289,93,100,7.4,20,8.79
290,67,95,6.8,6,5.11
291,54,80,2.2,18,6.82
292,39,83,3.4,1,3.03
293,86,90,7.9,5,5.38
294,106,95,2.5,21,9.28
295,95,80,4.4,7,5.85
296,80,81,6.2,17,7.42
297,101,83,3.9,16,7.89
298,70,83,7.1,11,5.96
299,61,87,5.7,5,4.57
300,44,93,2.5,22,7.58
